"","protname","normalised.degree","betweenness","weighted.betweenness","closeness","weighted.closeness","types","deg","bet","clos","eig"
"179","Sarcocystis mephitisi",0.00408163265306122,0,0,0.00485995435215022,0.00171406759340181,"FALSE",2,0,0,0.0115124566056494
"180","Sarcocystis mongolica",0.00408163265306122,0,0,5.64017913208924e-05,NA,"FALSE",2,0,0,2.26751415261617e-17
"181","Sarcocystis neurona",0.0285714285714286,0.000855546837445344,7.7098558513951e-05,0.0052923680856104,0.00314251810834201,"FALSE",14,198.635008225646,0,0.0960437846458681
"182","Sarcocystis odocoileocanis",0.00408163265306122,0,0,0.00509496181598728,0.00174487956585268,"FALSE",2,0,0,0.0168570463816955
"183","Sarcocystis ovalis",0.00408163265306122,0,0,0.00511376241309424,0.00177363722314071,"FALSE",2,0,0,0.0152729745278335
"184","Sarcocystis phacochoeri",0.00408163265306122,0,0,0.00357587356974458,0.00123102250136837,"FALSE",2,0,0,0.00010041319216996
"185","Sarcocystis rangi",0.00408163265306122,0,0,0.00514196330875469,0.00178593612533166,"FALSE",2,0,0,0.0130455682579739
"186","Sarcocystis scandinavica",0.00408163265306122,0,0,0.00511376241309424,0.00177363722314071,"FALSE",2,0,0,0.0152729745278335
"187","Sarcocystis sebeki",0.00408163265306122,0,0,0.00494455703913156,0.0017323338233805,"FALSE",2,0,0,0.0132946385954543
"188","Sarcocystis tarandivulpes",0.00408163265306122,0,0,0.00514196330875469,0.00178593612533166,"FALSE",2,0,0,0.0130455682579739
"189","Sarcocystis ursusi",0.00408163265306122,0,0,0.00483175345648978,0.0017133935219975,"FALSE",2,0,0,0.0106990698853389
"190","Sarcocystis woodhousei",0.00408163265306122,0,0,5.64017913208924e-05,NA,"FALSE",2,0,0,2.57607142700903e-17
"191","Sarcocystis youngi",0.00408163265306122,0,0,0.00495395733768504,0.00172992642424174,"FALSE",2,0,0,0.0137752737043244
"192","Spirodinium equi",0.00408163265306122,0,0,0.00569658092341013,0.00186092405258931,"FALSE",2,0,0,0.0124926003088604
"193","Tetratoxum parvum",0.00408163265306122,0,0,0.00569658092341013,0.00186092405258931,"FALSE",2,0,0,0.0124926003088604
"194","Tetratoxum unifasciculatum",0.00408163265306122,0,0,0.00569658092341013,0.00186092405258931,"FALSE",2,0,0,0.0124926003088604
"195","Theileria annae",0.00408163265306122,0,0,0.00500095883045246,0.00172322684476332,"FALSE",2,0,0,0.0178424980402794
"196","Theileria bicornis",0.00408163265306122,0,0,0.00569658092341013,0.00186092405258931,"FALSE",2,0,0,0.0124926003088604
"197","Theileria buffeli",0.00408163265306122,0,0,0.00488815524781067,0.00172726174937386,"FALSE",2,0,0,0.00868969257105458
"198","Theileria cervi",0.0244897959183673,0.00501296557322416,0.00449313266006303,0.0055555764451079,0.00288431354629786,"FALSE",12,2155.8345632096,0,0.0686055837111781
"199","Theileria mutans",0.00408163265306122,0,0,0.00488815524781067,0.00172726174937386,"FALSE",2,0,0,0.00868969257105458
"200","Theileria parva",0.00408163265306122,0,0,0.00488815524781067,0.00172726174937386,"FALSE",2,0,0,0.00868969257105458
"201","Toxoplasma gondii",0.330612244897959,0.411996563850525,0.307201776350788,0.00892088332725447,0.00363245543656691,"FALSE",162,96884.0207268479,0,1
"202","Triadinium galea",0.00408163265306122,0,0,0.00569658092341013,0.00186092405258931,"FALSE",2,0,0,0.0124926003088604
"203","Trichomonas intestinalis",0.00408163265306122,0,0,0.00462494688831317,0.00169214330753981,"FALSE",2,0,0,0.0411813606619991
"204","Troglocorys cava",0.00408163265306122,0,0,0.00485995435215022,0.00171806293687375,"FALSE",2,0,0,0.0488932729110705
"205","Troglodytella abrassarti",0.00408163265306122,0,0,0.00485995435215022,0.00171806293687375,"FALSE",2,0,0,0.0488932729110705
"206","Trypanosoma brucei",0.0612244897959184,0.0155358200714574,0.0240033512173434,0.00505736062177335,0.00255999573974256,"FALSE",30,10282.8439056638,0,0.0338977663674433
"207","Trypanosoma cervi",0.00816326530612245,0.000813369717310604,0.000205596156037203,0.00537697077259174,0.00237323185587841,"FALSE",4,45.8438619342507,0,0.0321300209095291
"208","Trypanosoma congolense",0.0326530612244898,0.0142190997826412,0.00454881495232311,0.00608199316410289,0.00231465446157554,"FALSE",16,7662.42611617461,0,0.0198574275444729
"209","Trypanosoma cruzi",0.171428571428571,0.0291078268075001,0.058795360722739,0.00641100361347476,0.00318200263350084,"FALSE",84,25210.4183057112,0,0.342864801931935
"210","Trypanosoma cyclops",0.00816326530612245,0,0,0.00360971464453711,0.00173515747177803,"FALSE",4,5.92275332921158,0,0.00210705632655139
"211","Trypanosoma devei",0.0244897959183673,0,0,0.0044557415143505,0.00266030471492246,"FALSE",12,893.516846255484,0,0.0460979419006108
"212","Trypanosoma diasi",0.00408163265306122,0,0,0.00447454211145746,0.00168741676732779,"FALSE",2,0,0,0.014758178281428
"213","Trypanosoma evansi",0.0326530612244898,0.00620023865286404,0.00116932813746159,0.00560257793787531,0.00256555224021561,"FALSE",16,3843.92076360122,0,0.0430836065839349
"214","Trypanosoma hippicum",0.00816326530612245,0,0,0.00553677584800093,0.00211249727105196,"FALSE",4,74.9827987514406,0,0.0379950109456699
"215","Trypanosoma irangiense",0.00816326530612245,0,0,0.00344990956912792,0.00143572488992421,"FALSE",4,419,0,0.000372538610612499
"216","Trypanosoma lambrechti",0.0244897959183673,0.00192929748184588,1.71330130031002e-05,0.00567778032630316,0.0026662176364394,"FALSE",12,808.400986134826,0,0.074964563184906
"217","Trypanosoma lesourdi",0.00408163265306122,0,0,0.00442754061869005,0.00168814176327785,"FALSE",2,0,0,0.0113147086016789
"218","Trypanosoma minasense",0.118367346938776,0.0163236812130721,0.0138897336416133,0.00617599614963771,0.00311496010064983,"FALSE",58,8106.19631330615,0,0.262605819545609
"219","Trypanosoma mycetae",0.0326530612244898,0.00264189112234998,1.71330130031002e-05,0.00584698570026584,0.00273184994889964,"FALSE",16,931.539853698537,0,0.0916150128947502
"220","Trypanosoma perodictici",0.0122448979591837,0,0,0.00344990956912792,0.00143572488992421,"FALSE",6,1261,0,0.000375693608718784
"221","Trypanosoma pestanai",0.00408163265306122,0,0,0.00494455703913156,0.0017323338233805,"FALSE",2,0,0,0.0132946385954543
"222","Trypanosoma primatum",0.0163265306122449,0.00456002941616545,9.34527981987285e-06,0.00559317763932183,0.00260046043645789,"FALSE",8,757.51552027925,0,0.132205416516081
"223","Trypanosoma rangeli",0.0448979591836735,0.00208843564434453,9.33749208668962e-05,0.00500095883045246,0.0029422153638632,"FALSE",22,420.005963582098,0,0.125694742651036
"224","Trypanosoma sanmartini",0.00408163265306122,0,0,0.00448394241001094,0.00169089922649609,"FALSE",2,0,0,0.0155163177702154
"225","Trypanosoma simiae",0.0204081632653061,0.0188338524945057,0.00994571404829968,0.00537697077259174,0.00197837876705822,"FALSE",10,4897.87254303245,0,0.0117562630524233
"226","Trypanosoma theileri",0.00408163265306122,0,0,0.00488815524781067,0.00172726174937386,"FALSE",2,0,0,0.00868969257105457
"227","Trypanosoma venezuelense",0.00816326530612245,0,0,0.00553677584800093,0.00211249727105196,"FALSE",4,74.9827987514406,0,0.0379950109456699
"228","Trypanosoma vivax",0.0408163265306122,0.00402689520306789,0.000102798078018601,0.00452154360422487,0.0023747242569257,"FALSE",20,2520.75950445291,0,0.00896724590307125
