Sample Name	Protocol REF	Assay Name	Raw Data File	Comment [Data Repository]	Comment [Data Record Accession]	Comment [Data Record URI]
Paramyxea	Species-Species Interactions	Paramyxea_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Kappaphycus alvarezii	Species-Species Interactions	Kappaphycus alvarezii_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Petalonia fascia	Species-Species Interactions	Petalonia fascia_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Grateloupia filicina	Species-Species Interactions	Grateloupia filicina_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Gelidium amansii	Species-Species Interactions	Gelidium amansii_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Emiliania huxleyi	Species-Species Interactions	Emiliania huxleyi_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Corallina officinalis	Species-Species Interactions	Corallina officinalis_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Palmaria palmata	Species-Species Interactions	Palmaria palmata_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Plocamium telfairiae	Species-Species Interactions	Plocamium telfairiae_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Gelidium pulchellum	Species-Species Interactions	Gelidium pulchellum_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Gracilaria corticata	Species-Species Interactions	Gracilaria corticata_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Grateloupia lanceolata	Species-Species Interactions	Grateloupia lanceolata_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Grateloupia turuturu	Species-Species Interactions	Grateloupia turuturu_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Hypnea musciformis	Species-Species Interactions	Hypnea musciformis_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Isochrysis galbana	Species-Species Interactions	Isochrysis galbana_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Laminaria digitata	Species-Species Interactions	Laminaria digitata_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Lomentaria catenata	Species-Species Interactions	Lomentaria catenata_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Fucus vesiculosus	Species-Species Interactions	Fucus vesiculosus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Saccharina latissima	Species-Species Interactions	Saccharina latissima_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Porphyra yezoensis	Species-Species Interactions	Porphyra yezoensis_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Padina pavonica	Species-Species Interactions	Padina pavonica_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Padina arborescens	Species-Species Interactions	Padina arborescens_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Mastocarpus stellatus	Species-Species Interactions	Mastocarpus stellatus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Chaetoceros compressus	Species-Species Interactions	Chaetoceros compressus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Chaetoceros muellerii	Species-Species Interactions	Chaetoceros muellerii_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Chondrus crispus	Species-Species Interactions	Chondrus crispus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Chondrus ocellatus	Species-Species Interactions	Chondrus ocellatus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Colpomenia sinuosa	Species-Species Interactions	Colpomenia sinuosa_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Devaleraea ramentacea	Species-Species Interactions	Devaleraea ramentacea_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Durvillaea antarctica	Species-Species Interactions	Durvillaea antarctica_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Ecklonia cava	Species-Species Interactions	Ecklonia cava_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Ectocarpus fasciculatus	Species-Species Interactions	Ectocarpus fasciculatus_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Enhalus acoroides	Species-Species Interactions	Enhalus acoroides_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Fucus spiralis	Species-Species Interactions	Fucus spiralis_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Sargassum fusiforme	Species-Species Interactions	Sargassum fusiforme_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Sargassum serratifolium	Species-Species Interactions	Sargassum serratifolium_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Scytosiphon lomentaria	Species-Species Interactions	Scytosiphon lomentaria_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
Undaria pinnatifida	Species-Species Interactions	Undaria pinnatifida_SSI	SpeciesInteractions_EID2.csv	figshare	doi:10.6084/m9.figshare.1381853	http://dx.doi.org/10.6084/m9.figshare.1381853
