Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[geographical location]	Term Source REF	Term Accession Number	Protocol REF	Sample Name
GeoNames or MESH database				Heard Island and McDonald Islands Territory	GAZ	GAZ:00005918	Data Repositories	heard island and mcdonald islands
GeoNames or MESH database				Palau	GAZ	GAZ:00006905	Data Repositories	palau
GeoNames or MESH database				Indonesia	GAZ	GAZ:00003727	Data Repositories	indonesia
GeoNames or MESH database				Qatar	GAZ	GAZ:00005286	Data Repositories	qatar
GeoNames or MESH database				Territoire des Terres australes et antarctiques francaises	GAZ	GAZ:00003753	Data Repositories	french southern territories
GeoNames or MESH database				Territory of the Cocos (Keeling) Islands	GAZ	GAZ:00005916	Data Repositories	cocos islands
GeoNames or MESH database				Taiwan Province	GAZ	GAZ:00005344	Data Repositories	taiwan
GeoNames or MESH database				The Philippines	GAZ	GAZ:00004525	Data Repositories	philippines
GeoNames or MESH database				Malaysia	GAZ	GAZ:00003902	Data Repositories	malaysia
GeoNames or MESH database				Cambodia	GAZ	GAZ:00006888	Data Repositories	cambodia
GeoNames or MESH database				Timor-Leste	GAZ	GAZ:00006913	Data Repositories	east timor
GeoNames or MESH database				New Caledonia	GAZ	GAZ:00005206	Data Repositories	new caledonia
GeoNames or MESH database				Fiji	GAZ	GAZ:00006891	Data Repositories	fiji
GeoNames or MESH database				Libya	GAZ	GAZ:00000566	Data Repositories	libya
GeoNames or MESH database				Ghana	GAZ	GAZ:00000908	Data Repositories	ghana
GeoNames or MESH database				Benin	GAZ	GAZ:00000904	Data Repositories	benin
GeoNames or MESH database				Gabon	GAZ	GAZ:00001092	Data Repositories	gabon
GeoNames or MESH database				Algeria	GAZ	GAZ:00000563	Data Repositories	algeria
GeoNames or MESH database				Territory of Norfolk Island	GAZ	GAZ:00005908	Data Repositories	norfolk island
GeoNames or MESH database				Czech Republic	GAZ	GAZ:00002954	Data Repositories	czech republic
GeoNames or MESH database				Haiti	GAZ	GAZ:00003953	Data Repositories	haiti
GeoNames or MESH database				Croatia	GAZ	GAZ:00002719	Data Repositories	croatia
GeoNames or MESH database				American Samoa	GAZ	GAZ:00003957	Data Repositories	american samoa
GeoNames or MESH database				The Republic of the Maldives	GAZ	GAZ:00006896	Data Repositories	maldives
GeoNames or MESH database				Nepal	GAZ	GAZ:00004399	Data Repositories	nepal
GeoNames or MESH database				Niger	GAZ	GAZ:00000585	Data Repositories	niger
GeoNames or MESH database				Mali	GAZ	GAZ:00000584	Data Repositories	mali
GeoNames or MESH database				Mauritania	GAZ	GAZ:00000583	Data Repositories	mauritania
GeoNames or MESH database				Bermuda	GAZ	GAZ:00001264	Data Repositories	bermuda
GeoNames or MESH database				Trinidad and Tobago	GAZ	GAZ:00003767	Data Repositories	trinidad and tobago
GeoNames or MESH database				Federated States of Micronesia	GAZ	GAZ:00006897	Data Repositories	micronesia
GeoNames or MESH database				Lebanon	GAZ	GAZ:00002478	Data Repositories	lebanon
GeoNames or MESH database				The Bahamas	GAZ	GAZ:00002733	Data Repositories	bahamas
GeoNames or MESH database				Anguilla	GAZ	GAZ:00009159	Data Repositories	anguilla
GeoNames or MESH database				Togo	GAZ	GAZ:00000915	Data Repositories	togo
