"","parname","ProportionalGenerality","ParasiteCloseness","ParasiteBetweenness","HostProportionalGenerality","HostBetweenness"
"82","Epidinium gigas",0.00921578005123228,0.000519355554313553,2.74458132491042e-07,0.0479243104231325,0.000631044401277903
"83","Eudiplodinium maggi",0.00921578005123228,0.000519355554313553,2.74458132491042e-07,0.0479243104231325,0.000631044401277903
"84","Giardia intestinalis",0.0967656905379389,0.000657675012980714,0.0185620036993387,0.0339683299152972,0.0116935016183137
"85","Hepatocystis cercopitheci",0.0230394501280807,0.000498965905586747,1.46377670661889e-06,0.0110594562514921,0.00089862054981514
"86","Hepatocystis foleyi",0.00460789002561614,0.000407602501838923,0,0.00737297083432808,0.000302876333122001
"87","Hepatocystis kochi",0.0875499104867067,0.00056153165154649,0.000648445829932999,0.0164921716031023,0.00353739162006205
"88","Hepatocystis semnopitheci",0.0184315601024646,0.000447220822852573,1.82972088327361e-06,0.0122114829443559,0.0022995461833059
"89","Hepatocystis simiae",0.0230394501280807,0.000548470666596936,9.79967046080933e-06,0.0363118813590658,0.0196873018227787
"90","Hepatocystis taiwanensis",0.00460789002561614,0.000428581708914146,0,0.00737297083432808,0
"91","Hepatozoon americanum",0.00921578005123228,0.000529423396878835,9.14860441636805e-07,0.0534540385488785,0.00122791022146519
"92","Hepatozoon canis",0.0230394501280807,0.000559264119437193,8.32998254066966e-06,0.0416572852139535,0.0208790951735713
"93","Hepatozoon procyonis",0.00921578005123228,0.000560443236134027,1.94179128737412e-05,0.0797202471461725,0.0233494087903991
"94","Iodamoeba butschlii",0.101373580563555,0.000596088840892188,0.00174336073703415,0.0240878308507877,0.00962183257326323
"95","Isospora arctopitheci",0.00460789002561614,0.000436617842709497,0,0.0110594562514921,0.000629628896765715
"96","Isospora cebi",0.00460789002561614,0.00041071355589288,0,0.0101378348972011,2.50597826138351e-05
"97","Isospora endocallimici",0.00460789002561614,0.000300547775894759,0,0.00276486406287303,0
"98","Isospora lutrae",0.00460789002561614,0.000496045324229972,0,0.0497675531317145,3.18488515241692e-05
"99","Isospora melis",0.00460789002561614,0.000504208439823444,0,0.0433162036516774,0.00011896374638878
"100","Isospora papionis",0.00460789002561614,0.000528788487888231,0,0.0534540385488785,0.084569094590019
"101","Isospora saimirae",0.00460789002561614,0.000421280255522207,0,0.0304135046916033,0.0186400370745761
"102","Isospora sengeri",0.00460789002561614,0.00039670020745742,0,0.00737297083432808,0
"103","Isospora spilogales",0.00460789002561614,0.00039670020745742,0,0.00737297083432808,0
"104","Isospora vulpis",0.00460789002561614,0.000545296121643919,0,0.135478339080778,0.097757706844756
"105","Leishmania braziliensis",0.00460789002561614,0.000436617842709497,0,0.0110594562514921,0.000629628896765715
