ParasiteCorrectedName,have_zooscore,have_trait,Note,Insect,GenusOnly,Commensal.,ZooScore,ConfidenceScore,XC_ZooScore,XC_CScore,XC_Notes,XC_WhoBy,XC_Date,PGF_ZooScore,PGF_CScore,PGF_notes,Non.GMPD,SearchStringGoog,Googlehits.As.of.2.8.2017.,SearchStringWOS,WOShits..As.of.2.6.2017.,Notes,Citation,PrintRef,WhoBy,DateEntry,XCCitation,PGF.Citation,PGF.more.citations,Nematode,GMPD_traits,GMPD_tax,Google,Tao.note,GMPDtraits,GMPDtax
Eimeria procyonis,NA,1,Can't find synonym. Not in GMPD. Only found in racoon.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eimeria rangiferis,1,NA,NA,NA,0,,,,-1,3,,VR,42717,,,,,Eimeria rangiferis,71,Eimeria rangiferis,1,,Skirnisson and Cuyler 2015,,VR,42717,,,,NA,0,1,No,,,
Eimeria serowi,1,NA,NA,NA,0,,,,-1,3,,VR,42717,,,,,Eimeria serowi,1,Eimeria serowi,0,,"Couch et al., 2003",,VR,42717,,,,NA,0,1,No,,,
Elyplastron bubali,1,NA,NA,NA,0,,,,-1,3,,VR,42717,,,,,Elyplastron bubali,1,Elyplastron bubali,0,,"Obanda et al., 2008",,VR,42717,,,,NA,0,1,No,,,
Entamoeba histolytica,1,1,Entamoeba histolytica�is implicated in 2.8% of water-borne parasitic disease outbreaks (Waterborne transmission of protozoan parasites: a worldwide review of outbreaks and lessons learnt),NA,3,,,,0,3,,VR,42716,,,,,Entamoemba histolytica,5,Entamoemba histolytica,0,,"Muoria et al., 2005",,VR,42716,,,,NA,0,0,Yes,misspelled in the sheet.,Entamoeba histolytica,Entamoeba histolytica
Entodinium bicornutum,1,NA,NA,NA,0,,,,-1,3,,VR,42713,,,,,Entodinium bicornutum,19,Entodinium bicornutum,1,,Ishaq and Wright 2015,,VR,42713,,,,NA,0,1,No,,,
Entodinium bursa,1,NA,NA,NA,0,,,,-1,2,,VR,42713,,,,,Entodinium bursa,315,Entodinium bursa,9,,"Coleman et al., 1977",,VR,42713,,,,NA,0,1,No,,,
Entodinium caudatum,1,NA,NA,NA,0,,,,-1,1,,VR,42713,,,,,Entodinium caudatum,1460,Entodinium caudatum,113,,Coleman 1964,,VR,42713,,,,NA,0,1,No,,,
Entodinium dubardi,1,NA,NA,NA,0,,,,-1,2,,VR,42713,,,,,Entodinium dubardi,230,Entodinium dubardi,8,,Coleman 1969,,VR,42713,,,,NA,0,1,No,,,
Entodinium furca,1,NA,NA,NA,0,,,,-1,3,,VR,42713,,,,,Entodinium furca,85,Entodinium furca,4,,"Devillard et al., 2006",,VR,42713,,,,NA,0,1,No,,,
